Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias
A19_DO00,BOOL,Выдача сигнала на закрытие К1,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00001,,
A19_DO01,BOOL,Выдача сигнала на открытие К1,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00002,,
A19_DO02,BOOL,Выдача сигнала на останов К1,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00003,,
A19_DO03,BOOL,Выдача сигнала на закрытие К2,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00004,,
A19_DO04,BOOL,Выдача сигнала на открытие К2,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00005,,
A19_DO05,BOOL,Выдача сигнала на останов К2. Программируемый выход. См. Руководство,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00006,,
A19_DO06,BOOL,Выдача сигнала 2P управление или 2P импульсное. См. Руководство,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00007,,
A19_DO07,BOOL,Выдача сигнала на закрытие К3,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00008,,
A19_DO08,BOOL,Выдача сигнала на открытие К3,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00009,,
A19_DO09,BOOL,Выдача сигнала на останов К3,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00010,,
A19_DO10,BOOL,Выдача сигнала на закрытие К4,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00011,,
A19_DO11,BOOL,Выдача сигнала на открытие К4,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00012,,
A19_DO12,BOOL,Выдача сигнала на останов К4,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00013,,
A19_DO13,BOOL,Выдача сигнала на закрытие К5,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00014,,
A19_DO14,BOOL,Выдача сигнала на открытие К5,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00015,,
A19_DO15,BOOL,Выдача сигнала на останов К5,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00016,,
A19_DO16,BOOL,Управляющий сигнал D1 на ПИД регулятор. См. Руководство РТЭ-41Р,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00017,,
A19_DO17,BOOL,Управляющий сигнал D2 на ПИД регулятор. См. Руководство РТЭ-41Р,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00018,,
A19_DO18,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00019,,
A19_DO19,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00020,,
A19_DO20,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00021,,
A19_DO21,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00022,,
A19_DO22,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00023,,
A19_DO23,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00024,,
A19_DO24,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00025,,
A19_DO25,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00026,,
A19_DO26,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00027,,
A19_DO27,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00028,,
A19_DO28,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00029,,
A19_DO29,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00030,,
A19_DO30,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00031,,
A19_DO31,BOOL,Резерв,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%Q00032,,
A20_DI00,BOOL,Прием сигнала K1 закрыт,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00081,,
A20_DI01,BOOL,Прием сигнала K1 открыт,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00082,,
A20_DI02,BOOL,Прием сигнала K1 в режиме местного управления,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00083,,
A20_DI03,BOOL,Прием сигнала K1 в режиме удаленного управления,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00084,,
A20_DI04,BOOL,Прием сигнала общего сбоя K1,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00085,,
A20_DI05,BOOL,Прием сигнала общей готовности K1,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00086,,
A20_DI06,BOOL,Прием сигнала сбоя К2. Программируемый. См. Руководство ULR1PAEX,,NO,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%I00087,,
