["Please translate Font Name, Font Size, Font Style, and Translation Text. If these fields are blank, they are unavailable for translation."]
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Description,DD_info.Trend,,,,"@tagname@","@tagname@",,
Chart,DD_info.Trend,GE Inspira Sans,14,0,"Axis Title","Axis Title","KPI Trends","KPI Trends",
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.Title_CV1,Calibri,16,1,"@DisplayName@","@DisplayName@",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.txtTitleControlsDeadband1,Calibri,14,0,"Deadb","Deadb",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_CV2.DL_CV3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.txtTitleControlsHIHI1,Calibri,14,0,"HiHi","HiHi",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.txtTitleControlsInfluentHI1,Calibri,14,0,"Hi","Hi",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.txtTitleControlsInfluentLO1,Calibri,14,0,"Lo","Lo",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.txtTitleControlsInfluentLOLO1,Calibri,14,0,"LoLo","LoLo",,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_HI2.DL_HI3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_LO2.DL_LO3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_LOLO2.DL_LOLO3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_DB2.DL_DB3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_HIHI2.DL_HIHI3,Calibri,16,1,,,,
Caption,DD_info.Dynamo4.Dynamo3.Dynamo2.Dynamo1.grpSetpoint_Entry1.ControlsSetpoint1.DL_MAX_VAL,Calibri,12,1,,,,
Description,DD_info.AlarmSummaryOCX1,,,,"filtered with @tagname@","filtered with @tagname@",,
AlarmSummary,DD_info.AlarmSummaryOCX1,,,,,,,
