"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,FB_Header.txt_Time,Calibri,16,1,09:12:25,09:12:25,,
Caption,FB_Header.txr_Date,Calibri,16,1,3/27/2019,3/27/2019,,
Caption,FB_Header.digits_transp_s11.transp_s_digits_Name11,Calibri,16,1,Связь,Связь,,
Caption,FB_Header.digits_transp_s11.transp_s_digits_text11,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s12.transp_s_digits_Name12,Calibri,16,1,ECS,ECS,,
Caption,FB_Header.digits_transp_s12.transp_s_digits_text12,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s13.transp_s_digits_Name13,Calibri,16,1,PEV,PEV,,
Caption,FB_Header.digits_transp_s13.transp_s_digits_text13,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s14.transp_s_digits_Name14,Calibri,16,1,PS,PS,,
Caption,FB_Header.digits_transp_s14.transp_s_digits_text14,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s15.transp_s_digits_Name15,Calibri,16,1,CS,CS,,
Caption,FB_Header.digits_transp_s15.transp_s_digits_text15,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s16.transp_s_digits_Name16,Calibri,16,1,VS,VS,,
Caption,FB_Header.digits_transp_s16.transp_s_digits_text16,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s17.transp_s_digits_Name17,Calibri,16,1,GSS,GSS,,
Caption,FB_Header.digits_transp_s17.transp_s_digits_text17,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s18.transp_s_digits_Name18,Calibri,16,1,AS,AS,,
Caption,FB_Header.digits_transp_s18.transp_s_digits_text18,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s19.transp_s_digits_Name19,Calibri,16,1,Утечка газа,Утечка газа,,
Caption,FB_Header.digits_transp_s19.transp_s_digits_text19,Calibri,16,1,,,,
Caption,FB_Header.digits_transp_s20.transp_s_digits_Name20,Calibri,16,1,EGRS,EGRS,,
Caption,FB_Header.digits_transp_s20.transp_s_digits_text20,Calibri,16,1,,,,
