"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,SQL_ALL_AT_Once.Text2,GE Inspira Sans,18,1,Srart,Начало,,
Caption,SQL_ALL_AT_Once.Text3,GE Inspira Sans,18,1,End,Конец,,
Caption,SQL_ALL_AT_Once.Text4,GE Inspira Sans,18,1,Date and time settings,Настройки даты и времени,,
Caption,SQL_ALL_AT_Once.Text5,GE Inspira Sans,18,1,Alarm source Settings,Натройки источника тревог,,
Description,SQL_ALL_AT_Once.chkNotepad,,,,Notepad,Notepad,,
Description,SQL_ALL_AT_Once.chkValve,,,,Valve,Valve,,
Description,SQL_ALL_AT_Once.chkSensor,,,,Sensor,Sensor,,
Description,SQL_ALL_AT_Once.chkECS,,,,ECS,ECS,,
Caption,SQL_ALL_AT_Once.Text6,GE Inspira Sans,18,1,Additional settings,Дополнительные настройки,,
Caption,SQL_ALL_AT_Once.Text9,GE Inspira Sans,16,1,Notepad,Блокнот,,
Caption,SQL_ALL_AT_Once.Text10,GE Inspira Sans,16,1,Valve,Клапан,,
Caption,SQL_ALL_AT_Once.Text11,GE Inspira Sans,16,1,Sensor,Датчик,,
Caption,SQL_ALL_AT_Once.Text12,GE Inspira Sans,16,1,ECS,ECS,,
Description,SQL_ALL_AT_Once.exit_btn2.btn_Login5,,,,Menu button,Menu button,,
Caption,SQL_ALL_AT_Once.exit_btn2.btn_Login5,Calibri,16,1,Close,Закрыть,,
Description,SQL_ALL_AT_Once.chkTC,,,,TC,TC,,
Caption,SQL_ALL_AT_Once.Text15,GE Inspira Sans,16,1,TC equipment,Оборудование термопары,,
Caption,SQL_ALL_AT_Once.Group1.Text14,GE Inspira Sans,16,1,Merge Rows,Объединить строки,,
Caption,SQL_ALL_AT_Once.Group2.Text13,GE Inspira Sans,16,1,Service data,Сервисные данные,,
Description,SQL_ALL_AT_Once.Export_btn.btn_Login4,,,,Menu button,Menu button,,
Caption,SQL_ALL_AT_Once.Export_btn.btn_Login4,Calibri,16,1,Export,Экспорт,,
Description,SQL_ALL_AT_Once.apply_btn.btn_Login3,,,,Menu button,Menu button,,
Caption,SQL_ALL_AT_Once.apply_btn.btn_Login3,Calibri,16,1,Apply,Подтвердить,,
Description,SQL_ALL_AT_Once.Group_operator_filter.chkOperator,,,,OPERATOR,OPERATOR,,
Caption,SQL_ALL_AT_Once.Group_operator_filter.Text16,GE Inspira Sans,16,1,Operator,Оператор,,
