"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,left_m_h.Group20.Text15,Calibri,22,1,Водоохлаждение,Cooling,,
Caption,left_m_h.Group20.Text19,Calibri,22,1,Вход,In,,
Caption,left_m_h.Group20.Text20,Calibri,22,1,Выход,Out,,
Caption,left_m_h.Group20.digits_transp_s36.transp_s_digits_Name36,Calibri,16,1,ДТ2,DT2,,
Caption,left_m_h.Group20.digits_transp_s36.transp_s_digits_text37,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s39.transp_s_digits_Name39,Calibri,16,1,ДТ6,DT6,,
Caption,left_m_h.Group20.digits_transp_s39.transp_s_digits_text40,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s40.transp_s_digits_Name40,Calibri,16,1,ДТ10,DT10,,
Caption,left_m_h.Group20.digits_transp_s40.transp_s_digits_text41,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s41.transp_s_digits_Name41,Calibri,16,1,ДТ14,DT14,,
Caption,left_m_h.Group20.digits_transp_s41.transp_s_digits_text42,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s42.transp_s_digits_Name42,Calibri,16,1,ДТ3,DT3,,
Caption,left_m_h.Group20.digits_transp_s42.transp_s_digits_text43,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s43.transp_s_digits_Name43,Calibri,16,1,ДТ4,DT4,,
Caption,left_m_h.Group20.digits_transp_s43.transp_s_digits_text44,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s44.transp_s_digits_Name44,Calibri,16,1,ДТ5,DT5,,
Caption,left_m_h.Group20.digits_transp_s44.transp_s_digits_text45,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s45.transp_s_digits_Name45,Calibri,16,1,ДТ7,DT7,,
Caption,left_m_h.Group20.digits_transp_s45.transp_s_digits_text46,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s46.transp_s_digits_Name46,Calibri,16,1,ДТ8,DT8,,
Caption,left_m_h.Group20.digits_transp_s46.transp_s_digits_text47,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s47.transp_s_digits_Name47,Calibri,16,1,ДТ9,DT9,,
Caption,left_m_h.Group20.digits_transp_s47.transp_s_digits_text48,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s48.transp_s_digits_Name48,Calibri,16,1,ДТ11,DT11,,
Caption,left_m_h.Group20.digits_transp_s48.transp_s_digits_text49,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s49.transp_s_digits_Name49,Calibri,16,1,ДТ12,DT12,,
Caption,left_m_h.Group20.digits_transp_s49.transp_s_digits_text50,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s50.transp_s_digits_Name50,Calibri,16,1,ДТ13,DT13,,
Caption,left_m_h.Group20.digits_transp_s50.transp_s_digits_text51,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s51.transp_s_digits_Name51,Calibri,16,1,ДТ15,DT15,,
Caption,left_m_h.Group20.digits_transp_s51.transp_s_digits_text52,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s52.transp_s_digits_Name52,Calibri,16,1,ДТ16,DT16,,
Caption,left_m_h.Group20.digits_transp_s52.transp_s_digits_text53,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s53.transp_s_digits_Name53,Calibri,16,1,ДТ17,DT17,,
Caption,left_m_h.Group20.digits_transp_s53.transp_s_digits_text54,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s54.transp_s_digits_Name54,Calibri,16,1,ДТ19,DT19,,
Caption,left_m_h.Group20.digits_transp_s54.transp_s_digits_text55,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s55.transp_s_digits_Name55,Calibri,16,1,ДТ20,DT20,,
Caption,left_m_h.Group20.digits_transp_s55.transp_s_digits_text56,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s56.transp_s_digits_Name56,Calibri,16,1,ДТ1,DT1,,
Caption,left_m_h.Group20.digits_transp_s56.transp_s_digits_text57,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s57.transp_s_digits_Name57,Calibri,16,1,РХМ1,RHM1,,
Caption,left_m_h.Group20.digits_transp_s57.transp_s_digits_text58,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s58.transp_s_digits_Name58,Calibri,16,1,ДД1,DD1,,
Caption,left_m_h.Group20.digits_transp_s58.transp_s_digits_text59,Calibri,16,1,,,,
Caption,left_m_h.Group20.btn_simple_square27.btn_simple_round_caption28,Calibri,16,1,Вкл/Откл,On/Off,,
Caption,left_m_h.Group20.digits_transp_s59.transp_s_digits_Name59,Calibri,16,1,Статус,Status,,
Caption,left_m_h.Group20.digits_transp_s59.transp_s_digits_text60,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s25.transp_s_digits_Name25,Calibri,16,1,ДТ21,DT21,,
Caption,left_m_h.Group20.digits_transp_s25.transp_s_digits_text26,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s32.transp_s_digits_Name32,Calibri,16,1,ДТ24,DT24,,
Caption,left_m_h.Group20.digits_transp_s32.transp_s_digits_text33,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s16.transp_s_digits_Name16,Calibri,16,1,ДТ22,DT22,,
Caption,left_m_h.Group20.digits_transp_s16.transp_s_digits_text16,Calibri,16,1,,,,
Caption,left_m_h.Group20.digits_transp_s24.transp_s_digits_Name24,Calibri,16,1,ДТ23,DT23,,
Caption,left_m_h.Group20.digits_transp_s24.transp_s_digits_text25,Calibri,16,1,,,,
AlarmSummary,left_m_h.AlarmSummaryOCX2,,,,,Emergency Stop,,
Caption,left_m_h.Group13.Group3.btn_simple_square13.btn_simple_round_caption14,Calibri,16,1,Экстренный стоп,On/Off,,
Caption,left_m_h.Group13.Group3.btn_simple_square14.btn_simple_round_caption15,Calibri,16,1,Вкл/Откл,DD3,,
Caption,left_m_h.Group13.digits_transp_s19.transp_s_digits_Name19,Calibri,16,1,ДД3,,,
Caption,left_m_h.Group13.digits_transp_s19.transp_s_digits_text20,Calibri,16,1,,DT18,,
Caption,left_m_h.Group13.digits_transp_s20.transp_s_digits_Name20,Calibri,16,1,ДТ18,,,
Caption,left_m_h.Group13.digits_transp_s20.transp_s_digits_text21,Calibri,16,1,,Exhaust gases,,
Caption,left_m_h.Group13.Text13,Calibri,22,1,Отработанные газы,Status,,
Caption,left_m_h.Group13.digits_transp_s65.transp_s_digits_Name65,Calibri,16,1,Статус,,,
Caption,left_m_h.Group13.digits_transp_s65.transp_s_digits_text66,Calibri,16,1,,Open,,
Caption,left_m_h.Group13.Group30.btn_simple_square39.btn_simple_round_caption40,Calibri,16,1,Откр,Close,,
Caption,left_m_h.Group13.Group30.btn_simple_square40.btn_simple_round_caption41,Calibri,16,1,Закр,К3,,
Caption,left_m_h.Group13.Group30.Text23,Calibri,18,1,К3,Status,,
Caption,left_m_h.Group13.Group30.digits_transp_s78.transp_s_digits_Name80,Calibri,16,1,Статус,,,
Caption,left_m_h.Group13.Group30.digits_transp_s78.transp_s_digits_text79,Calibri,16,1,,,,
Caption,left_m_h.Group13.Group30.digits_transp_s79.transp_s_digits_text80,Calibri,16,1,,Remote,,
Caption,left_m_h.Group13.Group30.digits_transp_s79.transp_s_digits_Name81,Calibri,16,1,Remote,Emergency Stop,,
Caption,left_m_h.Group14.Group4.btn_simple_square15.btn_simple_round_caption16,Calibri,16,1,Экстренный стоп,On/Off,,
