["Please translate Font Name, Font Size, Font Style, and Translation Text. If these fields are blank, they are unavailable for translation."]
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,right_full.Text12,Calibri,22,1,"ПИД","ПИД",,
Caption,right_full.Text11,Calibri,22,1,"Управление приводом","Управление приводом",,
Caption,right_full.Group11.Group2.btn_simple_square.btn_simple_round_caption1,Calibri,16,1,"Пуск","Пуск",,
Description,right_full.Group11.Group2.btn_simple_square,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_full.Group11.Group2.btn_simple_square1.btn_simple_round_caption2,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group2.digits_transp_s.transp_s_digits_Name,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group2.digits_transp_s.transp_s_digits_text,Calibri,16,1,,,,
Caption,right_full.Group11.Group2.Text1,Calibri,18,1,"Заполненеие водой","Заполненеие водой",,
Caption,right_full.Group11.Group5.btn_simple_square2.btn_simple_round_caption3,Calibri,16,1,"Пуск","Пуск",,
Caption,right_full.Group11.Group5.btn_simple_square3.btn_simple_round_caption4,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group5.digits_transp_s1.transp_s_digits_Name1,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group5.digits_transp_s1.transp_s_digits_text1,Calibri,16,1,,,,
Caption,right_full.Group11.Group5.Text4,Calibri,18,1,"Вакуумирование","Вакуумирование",,
Caption,right_full.Group11.Group7.btn_simple_square4.btn_simple_round_caption5,Calibri,16,1,"Пуск","Пуск",,
Caption,right_full.Group11.Group7.btn_simple_square5.btn_simple_round_caption6,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group7.digits_transp_s2.transp_s_digits_Name2,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group7.digits_transp_s2.transp_s_digits_text2,Calibri,16,1,,,,
Caption,right_full.Group11.Group7.Text6,Calibri,18,1,"Напуск Газа","Напуск Газа",,
Caption,right_full.Group11.Group8.btn_simple_square6.btn_simple_round_caption7,Calibri,16,1,"Пуск","Пуск",,
Caption,right_full.Group11.Group8.btn_simple_square7.btn_simple_round_caption8,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group8.digits_transp_s3.transp_s_digits_Name3,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group8.digits_transp_s3.transp_s_digits_text3,Calibri,16,1,,,,
Caption,right_full.Group11.Group8.Text7,Calibri,18,1,"Пиролитическое уплотнение","Пиролитическое уплотнение",,
Caption,right_full.Group11.Group9.btn_simple_square8.btn_simple_round_caption9,Calibri,16,1,"Пуск","Пуск",,
Caption,right_full.Group11.Group9.btn_simple_square9.btn_simple_round_caption10,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group9.digits_transp_s4.transp_s_digits_Name4,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group9.digits_transp_s4.transp_s_digits_text4,Calibri,16,1,,,,
Caption,right_full.Group11.Group9.Text8,Calibri,18,1,"Охлаждение","Охлаждение",,
Caption,right_full.Group11.Group10.btn_simple_square10.btn_simple_round_caption11,Calibri,16,1,"Пуск","Пуск",,
Caption,right_full.Group11.Group10.btn_simple_square11.btn_simple_round_caption12,Calibri,16,1,"Стоп","Стоп",,
Caption,right_full.Group11.Group10.digits_transp_s5.transp_s_digits_Name5,Calibri,16,1,"Статус","Статус",,
Caption,right_full.Group11.Group10.digits_transp_s5.transp_s_digits_text5,Calibri,16,1,,,,
Caption,right_full.Group11.Group10.Text9,Calibri,18,1,"Вентиляция","Вентиляция",,
Caption,right_full.Group11.Text10,Calibri,22,1,"Управление операциями","Управление операциями",,
Caption,right_full.digits_transp.transp_m_digits_Name,Calibri,16,1,"Положение","Положение",,
Caption,right_full.digits_transp.transp_m_digits_text,Calibri,16,1,,,,
Caption,right_full.digits_transp1.transp_m_digits_Name1,Calibri,16,1,"Пройдено","Пройдено",,
Caption,right_full.digits_transp1.transp_m_digits_text1,Calibri,16,1,,,,
Caption,right_full.digits_transp2.transp_m_digits_Name2,Calibri,16,1,"Осталось пройти","Осталось пройти",,
Caption,right_full.digits_transp2.transp_m_digits_text2,Calibri,16,1,,,,
Caption,right_full.digits_transp3.transp_m_digits_Name3,Calibri,16,1,"Положение ТК","Положение ТК",,
Caption,right_full.digits_transp3.transp_m_digits_text3,Calibri,16,1,,,,
Caption,right_full.btn_simple_square12.btn_simple_round_caption13,Calibri,16,1,"Выполнить","Выполнить",,
Caption,right_full.btn_simple_square13.btn_simple_round_caption14,Calibri,16,1,"Записать","Записать",,
Caption,right_full.btn_simple_square14.btn_simple_round_caption15,Calibri,16,1,"Включить","Включить",,
Caption,right_full.btn_simple_square15.btn_simple_round_caption16,Calibri,16,1,"Стоп","Стоп",,
