"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Chart,right_m_h.Group28.DDChart2,Arial Cyr,10,0,,,,
Caption,right_m_h.Group28.Text1159,,13,1,Выбор датчика:,Select source:,,
Caption,right_m_h.Text11,Calibri,22,1,Управление ТП,TC control,,
Caption,right_m_h.Text12,Calibri,22,1,Контроллер температуры,Temperature controller,,
Caption,right_m_h.Group10.btn_simple_square10.btn_simple_round_caption11,Calibri,16,1,Пуск,Start,,
Caption,right_m_h.Group10.btn_simple_square11.btn_simple_round_caption12,Calibri,16,1,Стоп,Stop,,
Caption,right_m_h.Group10.digits_transp_s5.transp_s_digits_Name5,Calibri,16,1,Статус,Status,,
Caption,right_m_h.Group10.digits_transp_s5.transp_s_digits_text5,Calibri,16,1,,,,
Caption,right_m_h.Group10.Text9,Calibri,18,1,Вентиляция,Ventilation,,
Caption,right_m_h.btn_simple_square14.btn_simple_round_caption15,Calibri,16,1,Пуск,Start,,
Caption,right_m_h.btn_simple_square15.btn_simple_round_caption16,Calibri,16,1,Стоп,Stop,,
Caption,right_m_h.btn_simple_square16.btn_simple_round_caption17,Calibri,16,1,Пуск,Start,,
Caption,right_m_h.btn_simple_square17.btn_simple_round_caption18,Calibri,16,1,Стоп,Stop,,
Caption,right_m_h.Group8.transp_s_digits_Name11,Calibri,16,1,До следующего шага,Until next step,,
Caption,right_m_h.Group8.transp_s_digits_text11,Calibri,16,1,,,,
Caption,right_m_h.Group9.transp_s_digits_Name12,Calibri,16,1,До замены ТП,Until TC replacement,,
Caption,right_m_h.Group9.transp_s_digits_text12,Calibri,16,1,,,,
Caption,right_m_h.digits_transp_s8.transp_s_digits_Name8,Calibri,16,1,Статус,Status,,
Caption,right_m_h.digits_transp_s8.transp_s_digits_text8,Calibri,16,1,,,,
Caption,right_m_h.digits_transp_s9.transp_s_digits_Name9,Calibri,16,1,Отклонение температуры,Temperature deviation,,
Caption,right_m_h.digits_transp_s9.transp_s_digits_text9,Calibri,16,1,,,,
Caption,right_m_h.Group14.digits_transp_s7.transp_s_digits_Name7,Calibri,16,1,Текущее,Current,,
Caption,right_m_h.Group14.digits_transp_s7.transp_s_digits_text7,Calibri,16,1,,,,
Caption,right_m_h.Group14.Group12.transp_s_digits_Name14,Calibri,16,1,Минимум,Min,,
Caption,right_m_h.Group14.Group12.transp_s_digits_text14,Calibri,16,1,,,,
Caption,right_m_h.Group14.Group13.transp_s_digits_Name15,Calibri,16,1,Максимум,Max,,
