["Please translate Font Name, Font Size, Font Style, and Translation Text. If these fields are blank, they are unavailable for translation."]
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Chart,right_m_h.Group28.DDChart2,Arial Cyr,10,0,"","","","",
Caption,right_m_h.Group28.Text1159,,13,1,"Выбор датчика:","Выбор датчика:",,
Caption,right_m_h.Text11,Calibri,22,1,"Управление ТП","Управление ТП",,
Caption,right_m_h.Text12,Calibri,22,1,"Контроллер температуры","Контроллер температуры",,
Caption,right_m_h.Group10.btn_simple_square10.btn_simple_round_caption11,Calibri,16,1,"Пуск","Пуск",,
Caption,right_m_h.Group10.btn_simple_square11.btn_simple_round_caption12,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group10.digits_transp_s5.transp_s_digits_Name5,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group10.digits_transp_s5.transp_s_digits_text5,Calibri,16,1,,,,
Caption,right_m_h.Group10.Text9,Calibri,18,1,"Вентиляция","Вентиляция",,
Caption,right_m_h.btn_simple_square14.btn_simple_round_caption15,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.btn_simple_square14,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.btn_simple_square15.btn_simple_round_caption16,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.btn_simple_square16.btn_simple_round_caption17,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.btn_simple_square16,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.btn_simple_square17.btn_simple_round_caption18,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group8.transp_s_digits_Name11,Calibri,16,1,"До следующего шага","До следующего шага",,
Caption,right_m_h.Group8.transp_s_digits_text11,Calibri,16,1,,,,
Caption,right_m_h.Group9.transp_s_digits_Name12,Calibri,16,1,"До замены ТП","До замены ТП",,
Caption,right_m_h.Group9.transp_s_digits_text12,Calibri,16,1,,,,
Caption,right_m_h.digits_transp_s8.transp_s_digits_Name8,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.digits_transp_s8.transp_s_digits_text8,Calibri,16,1,,,,
Caption,right_m_h.digits_transp_s9.transp_s_digits_Name9,Calibri,16,1,"Отклонение температуры","Отклонение температуры",,
Caption,right_m_h.digits_transp_s9.transp_s_digits_text9,Calibri,16,1,,,,
Caption,right_m_h.Group14.digits_transp_s7.transp_s_digits_Name7,Calibri,16,1,"Текущее","Текущее",,
Caption,right_m_h.Group14.digits_transp_s7.transp_s_digits_text7,Calibri,16,1,,,,
Caption,right_m_h.Group14.Group12.transp_s_digits_Name14,Calibri,16,1,"Минимум","Минимум",,
Caption,right_m_h.Group14.Group12.transp_s_digits_text14,Calibri,16,1,,,,
Caption,right_m_h.Group14.Group13.transp_s_digits_Name15,Calibri,16,1,"Максимум","Максимум",,
Caption,right_m_h.Group14.Group13.transp_s_digits_text15,Calibri,16,1,,,,
Caption,right_m_h.Group14.transp_s_digits_Name16,Calibri,16,1,"Положение ТП","Положение ТП",,
Caption,right_m_h.Group15.btn_simple_square18.btn_simple_round_caption19,Calibri,16,1,"Записать","Записать",,
Description,right_m_h.Group15.btn_simple_square18,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group15.btn_simple_square19.btn_simple_round_caption20,Calibri,16,1,"Идти","Идти",,
Description,right_m_h.Group15.btn_simple_square19,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group15.Group11.transp_s_digits_Name13,Calibri,16,1,"Изменить положение","Изменить положение",,
Caption,right_m_h.Group15.Group11.transp_s_digits_text13,Calibri,16,1,,,,
Caption,right_m_h.Group15.transp_s_digits_Name17,Calibri,16,1,"или","или",,
Caption,right_m_h.Group16.Group4.btn_simple_square4.btn_simple_round_caption5,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group4.btn_simple_square4,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group4.btn_simple_square5.btn_simple_round_caption6,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group4.Text3,Calibri,18,1,"Напуск газа","Напуск газа",,
Caption,right_m_h.Group16.Group4.digits_transp_s2.transp_s_digits_Name2,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group4.digits_transp_s2.transp_s_digits_text2,Calibri,16,1,,,,
Caption,right_m_h.Group16.Group2.btn_simple_square.btn_simple_round_caption1,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group2.btn_simple_square,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group2.btn_simple_square1.btn_simple_round_caption2,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group2.Text1,Calibri,18,1,"Заполненеие водой","Заполненеие водой",,
Caption,right_m_h.Group16.Group2.digits_transp_s.transp_s_digits_Name,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group2.digits_transp_s.transp_s_digits_text,Calibri,16,1,,,,
Caption,right_m_h.Group16.Text10,Calibri,22,1,"Управление операциями","Управление операциями",,
Caption,right_m_h.Group16.Group3.btn_simple_square2.btn_simple_round_caption3,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group3.btn_simple_square2,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group3.btn_simple_square3.btn_simple_round_caption4,Calibri,16,1,"Стоп","Стоп",,
Caption,right_m_h.Group16.Group3.Text2,Calibri,18,1,"Вакуумирование","Вакуумирование",,
Caption,right_m_h.Group16.Group3.digits_transp_s1.transp_s_digits_Name1,Calibri,16,1,"Статус","Статус",,
Caption,right_m_h.Group16.Group3.digits_transp_s1.transp_s_digits_text1,Calibri,16,1,,,,
Caption,right_m_h.Group16.Group5.btn_simple_square6.btn_simple_round_caption7,Calibri,16,1,"Пуск","Пуск",,
Description,right_m_h.Group16.Group5.btn_simple_square6,,,,"Fix32.FIX.VALVE_OPEN.F_CV","Fix32.FIX.VALVE_OPEN.F_CV",,
Caption,right_m_h.Group16.Group5.btn_simple_square7.btn_simple_round_caption8,Calibri,16,1,"Стоп","Стоп",,
